date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:39	83/83	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:38%20GMT	https://www.viabcp.com/robots.txt		(from )
19:36:39	721777/721777	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:38%20GMT	https://www.viabcp.com/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/index.html	(from )
19:36:40	3524/3524	---MCZ	200	added ('OK')	application/javascript	etag:%22dc4-zHMtd6MY6uJBl7Yg/m0ZngsgUrM%22	https://unpkg.com/web-vitals@0.2.4/dist/web-vitals.es5.umd.min.js	C:/My%20Web%20Sites/PAGINA%20BCP/unpkg.com/web-vitals@0.2.4/dist/web-vitals.es5.umd.min.js	(from https://www.viabcp.com/)
19:36:40	378719/378719	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2021:22:02%20GMT	https://www.viabcp.com/contenthandler/!ut/p/digest!g98GW7j82ZUibYO5KtEZaw/sp/mashup:ra:collection?soffset=0&eoffset=17&themeID=ZJ_79E813O0P09HF0QHBK3AT4KEH0&locale=en&mime-type=text%2Fcss&lm=1664400122885&entry=wp_toolbar_common__0.0%3Ahead_css&entry=wp_dialog_css__0.0%3Ahead_css&entry=wp_toolbar_logo__0.0%3Ahead_css&entry=wp_theme_portal_edit_85__0.0%3Ahead_css&entry=wp_theme_portal_85__0.0%3Ahead_css&entry=wp_portlet_css__0.0%3Ahead_css&entry=wp_toolbar_common_actionbar__0.0%3Ahead_css&entry=wp_simple_contextmenu_css__0.0%3Ahead_css&entry=wp_toolbar_actionbar__0.0%3Ahead_css&entry=wp_ic4_wai_resources__0.0%3Ahead_css&entry=wp_toolbar_sitepreview__0.0%3Ahead_css&entry=wp_toolbar_moremenu__0.0%3Ahead_css&entry=wp_status_bar__0.0%3Ahead_css&entry=wp_toolbar_projectmenu__0.0%3Ahead_css&entry=wp_analytics_aggregator__0.0%3Ahead_css&entry=wp_oob_sample_styles__0.0%3Ahead_css	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/contenthandler/!ut/p/digest!g98GW7j82ZUibYO5KtEZaw/sp/mashup_ra_collection7d02.css	(from https://www.viabcp.com/)
19:36:40	49863/49863	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2021:21:57%20GMT	https://www.viabcp.com/contenthandler/!ut/p/digest!g98GW7j82ZUibYO5KtEZaw/sp/mashup:ra:collection?soffset=0&eoffset=7&themeID=ZJ_79E813O0P09HF0QHBK3AT4KEH0&locale=en&mime-type=text%2Fcss&lm=1664400117484&entry=wp_contextmenu_css__0.0%3Ahead_css&entry=wp_federated_documents_picker__0.0%3Ahead_css&entry=wp_analytics_tags__0.0%3Ahead_css&entry=wp_dnd_css__0.0%3Ahead_css&entry=wcm_inplaceEdit__0.0%3Ahead_css&entry=wp_content_targeting_cam__0.0%3Ahead_css&deferred=true	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/contenthandler/!ut/p/digest!g98GW7j82ZUibYO5KtEZaw/sp/mashup_ra_collection9566.css	(from https://www.viabcp.com/)
19:36:40	77030/77030	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202022%2021:26:21%20GMT	https://www.viabcp.com/contenthandler/!ut/p/digest!g98GW7j82ZUibYO5KtEZaw/mashup/ra:collection?themeID=ZJ_79E813O0P09HF0QHBK3AT4KEH0&locale=en&mime-type=text%2Fjavascript&lm=1664400381696&entry=wp_client_main__0.0%3Ahead_js&entry=wp_client_ext__0.0%3Ahead_js&entry=wp_client_logging__0.0%3Ahead_js&entry=wp_client_tracing__0.0%3Ahead_js&entry=wp_modules__0.0%3Ahead_js&entry=wp_photon_dom__0.0%3Ahead_js&entry=wp_toolbar_common__0.0%3Ahead_js&entry=wp_dialog_util__0.0%3Ahead_js&entry=wp_dialog_draggable__0.0%3Ahead_js&entry=wp_dialog_main__0.0%3Ahead_js&entry=wp_a11y__0.0%3Ahead_js&entry=wp_state_page__0.0%3Ahead_js&entry=wp_theme_portal_85__0.0%3Ahead_js&entry=wp_theme_utils__0.0%3Ahead_js&entry=wp_toolbar_viewframe_validator__0.0%3Ahead_js&entry=wp_analytics_aggregator__0.0%3Ahead_js	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/contenthandler/!ut/p/digest!g98GW7j82ZUibYO5KtEZaw/mashup/ra_collectiona239	(from https://www.viabcp.com/)
19:36:40	222270/222270	---MCZ	200	added ('OK')	image/x-icon	etag:W/%220997DF58381%22	https://www.viabcp.com/contenthandler/!ut/p/digest!C9UAl7ASFUMxBP9FVNMt5g/dav/fs-type1/themes/ViaBCPThemeLight/images/favicon.ico	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/contenthandler/!ut/p/digest!C9UAl7ASFUMxBP9FVNMt5g/dav/fs-type1/themes/ViaBCPThemeLight/images/favicon.ico_;size=222270;modification-date=_Wed,%2028%20Sep%202022%2021_26_07%20GMT	(from https://www.viabcp.com/)
19:36:41	25828/25828	---MCZ	200	added ('OK')	text/javascript	etag:W/%221228247509%22	https://www.viabcp.com/wcm/connect/resources/userstories/js/bcp-first-render-function.js?subtype=javascript	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/wcm/connect/resources/userstories/js/bcp-first-render-function19a7.js	(from https://www.viabcp.com/)
19:36:41	40187/40187	---MCZ	200	added ('OK')	text/javascript	etag:W/%22-1910943704%22	https://www.viabcp.com/wcm/connect/resources/userstories/js/bcp-funciones.js?subtype=javascript	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/wcm/connect/resources/userstories/js/bcp-funciones19a7.js	(from https://www.viabcp.com/)
19:36:41	189762/189762	---MCZ	200	added ('OK')	text/css	etag:W/%221286429839%22	https://www.viabcp.com/wcm/connect/resources/userstories/css/style.css?subtype=css	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/wcm/connect/resources/userstories/css/style2de9.css	(from https://www.viabcp.com/)
19:36:41	721765/721765	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:41%20GMT	https://www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/index.html	(from https://www.viabcp.com/)
19:36:41	83265/83265	---MCZ	200	added ('OK')	text/css	etag:W/%22-1685610139%22	https://www.viabcp.com/wcm/connect/resources/userstories/css/bcp-estilo-plantillas.css?subtype=css	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/wcm/connect/resources/userstories/css/bcp-estilo-plantillas2de9.css	(from https://www.viabcp.com/)
19:36:42	31459/31459	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:41%20GMT	https://www.viabcp.com/navegador-soportado	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/navegador-soportado.html	(from https://www.viabcp.com/)
19:36:42	721777/721777	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:42%20GMT	https://www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/dz/d5/L2dJQSEvUUt3QS80TmxFL1o2XzAwNjRJM1MwTU9TQzQwQVJNTDFUMTQwMDE0/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YO/dz/d5/L2dJQSEvUUt3QS80TmxFL1o2XzAwNjRJM1MwTU9TQzQwQVJ/index.html	(from https://www.viabcp.com/)
19:36:42	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:32:25%20GMT	https://www.googleanalytics.com/analytics.js	C:/My%20Web%20Sites/PAGINA%20BCP/www.googleanalytics.com/analytics.a.delayed	(from https://www.viabcp.com/)
19:36:42	721765/721765	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:42%20GMT	https://www.viabcp.com/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDVCAo4FTkJGTsYGBu7-RfkG2oyIA9vdYew!!/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDVCAo4FTkJGTsYGBu7-RfkG2oyIA9vdYew!!/index.html	(from https://www.viabcp.com/)
19:36:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2009%20Nov%202022%2000:36:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/PAGINA%20BCP/www.googletagmanager.com/gtm.b5445.delayed	(from https://www.viabcp.com/)
19:36:43	339624/339624	---M-Z	200	added ('OK')	application/x-javascript	etag:%220761da3092628890a933776dfb0084e9:1660332949.89361%22	https://assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-fbfae29dbcea-development.min.js	C:/My%20Web%20Sites/PAGINA%20BCP/assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-fbfae29dbcea-development.min.js	(from https://www.viabcp.com/)
